estado,ano,turno,situacao,quantidade,proporcao,uf
Espírito Santo,2014,2,DEMAIS,2075765,0.7827982851910682,ES
Espírito Santo,1989,1,ABSTENÇÃO,136287,0.09681131500491207,ES
Espírito Santo,1989,1,DEMAIS,1271472,0.903188684995088,ES
Espírito Santo,1989,2,ABSTENÇÃO,136287,0.09681131500491207,ES
Espírito Santo,1989,2,DEMAIS,1271472,0.903188684995088,ES
Espírito Santo,1994,1,ABSTENÇÃO,294919,0.1723937572812526,ES
Espírito Santo,1994,1,DEMAIS,1415810,0.8276062427187474,ES
Espírito Santo,1998,1,ABSTENÇÃO,418119,0.21812431007823113,ES
Espírito Santo,1998,1,DEMAIS,1498765,0.7818756899217689,ES
Espírito Santo,2002,2,ABSTENÇÃO,475336,0.22145474451704578,ES
Espírito Santo,2002,2,DEMAIS,1671089,0.7785452554829542,ES
Espírito Santo,2002,1,ABSTENÇÃO,378376,0.17628195720791548,ES
Espírito Santo,2002,1,DEMAIS,1768049,0.8237180427920845,ES
Goiás,1989,1,ABSTENÇÃO,304086,0.13822310809490151,GO
Goiás,1989,1,DEMAIS,1895879,0.8617768919050985,GO
Goiás,1989,2,ABSTENÇÃO,304086,0.13822310809490151,GO
Goiás,1989,2,DEMAIS,1895879,0.8617768919050985,GO
Goiás,1994,1,ABSTENÇÃO,500218,0.19077021178087614,GO
Goiás,1994,1,DEMAIS,2121879,0.8092297882191238,GO
Goiás,1998,1,ABSTENÇÃO,607401,0.20597321335317328,GO
Goiás,1998,1,DEMAIS,2341531,0.7940267866468267,GO
Goiás,2002,1,ABSTENÇÃO,573047,0.17025338042597288,GO
Goiás,2002,1,DEMAIS,2792801,0.8297466195740271,GO
Goiás,2002,2,ABSTENÇÃO,746746,0.2218596918220906,GO
Goiás,2002,2,DEMAIS,2619102,0.7781403081779094,GO
Goiás,2006,1,ABSTENÇÃO,640034,0.08569928913538027,GO
Goiás,2006,1,DEMAIS,6828336,0.9143007108646197,GO
Goiás,2006,2,ABSTENÇÃO,762775,0.1021340667374541,GO
Goiás,2006,2,DEMAIS,6705595,0.8978659332625459,GO
Goiás,2010,1,ABSTENÇÃO,729276,0.1796727793063757,GO
Goiás,2010,1,DEMAIS,3329636,0.8203272206936243,GO
Goiás,2010,2,ABSTENÇÃO,900924,0.22195560119319208,GO
Goiás,2010,2,DEMAIS,3158104,0.778044398806808,GO
Goiás,2014,1,ABSTENÇÃO,815396,0.18832038364519285,GO
Goiás,2014,1,DEMAIS,3514438,0.8116796163548071,GO
Goiás,2014,2,ABSTENÇÃO,932427,0.21534449039846354,GO
Goiás,2014,2,DEMAIS,3397505,0.7846555096015365,GO
Maranhão,1989,1,ABSTENÇÃO,678071,0.31621254346301353,MA
Maranhão,1989,1,DEMAIS,1466281,0.6837874565369865,MA
Maranhão,1989,2,ABSTENÇÃO,678071,0.31621254346301353,MA
Maranhão,1989,2,DEMAIS,1466281,0.6837874565369865,MA
Maranhão,1994,1,ABSTENÇÃO,798266,0.30521230612763794,MA
Maranhão,1994,1,DEMAIS,1817179,0.69478769387236206,MA
Maranhão,1998,1,ABSTENÇÃO,927689,0.3105512693519387,MA
Maranhão,1998,1,DEMAIS,2059544,0.6894487306480612,MA
Maranhão,2002,1,ABSTENÇÃO,812664,0.23965906567456532,MA
Maranhão,2002,1,DEMAIS,2578253,0.7603409343254347,MA
Maranhão,2002,2,ABSTENÇÃO,1162707,0.3428240606966242,MA
Maranhão,2002,2,DEMAIS,2228849,0.6571759393033758,MA
Maranhão,2006,1,ABSTENÇÃO,817081,0.10420335315338845,MA
Maranhão,2006,1,DEMAIS,7024135,0.8957966468466115,MA
Maranhão,2006,2,ABSTENÇÃO,947517,0.1208380179808846,MA
Maranhão,2006,2,DEMAIS,6893699,0.8791619820191154,MA
Maranhão,2010,1,ABSTENÇÃO,1035648,0.23969183113664577,MA
Maranhão,2010,1,DEMAIS,3285100,0.7603081688633542,MA
Maranhão,2010,2,ABSTENÇÃO,1275532,0.29522069247246624,MA
Maranhão,2010,2,DEMAIS,3045073,0.7047793075275337,MA
Maranhão,2014,1,ABSTENÇÃO,1062192,0.23625981568837492,MA
Maranhão,2014,1,DEMAIS,3433672,0.763740184311625,MA
Maranhão,2014,2,ABSTENÇÃO,1230596,0.2737149800607353,MA
Maranhão,2014,2,DEMAIS,3265307,0.7262850199392648,MA
Mato Grosso,1989,1,ABSTENÇÃO,233848,0.22748479530570873,MT
Mato Grosso,1989,1,DEMAIS,794124,0.7725152046942912,MT
Mato Grosso,1989,2,ABSTENÇÃO,233848,0.22748479530570873,MT
Mato Grosso,1989,2,DEMAIS,794124,0.7725152046942912,MT
Mato Grosso,1994,1,ABSTENÇÃO,342260,0.26759090006426683,MT
Mato Grosso,1994,1,DEMAIS,936782,0.7324090999357331,MT
Mato Grosso,2002,1,ABSTENÇÃO,384833,0.2224439920417197,MT
Mato Grosso,2002,1,DEMAIS,1345189,0.7775560079582803,MT
Mato Grosso,2002,2,ABSTENÇÃO,492985,0.28495880399208795,MT
Mato Grosso,2002,2,DEMAIS,1237037,0.715041196007912,MT
Mato Grosso,2006,1,ABSTENÇÃO,390654,0.10067000984399078,MT
Mato Grosso,2006,1,DEMAIS,3489886,0.8993299901560092,MT
Mato Grosso,2006,2,ABSTENÇÃO,468306,0.1206806269230571,MT
Mato Grosso,2006,2,DEMAIS,3412234,0.8793193730769429,MT
Mato Grosso,2010,1,ABSTENÇÃO,438820,0.20955744706862167,MT
Mato Grosso,2010,1,DEMAIS,1655212,0.7904425529313783,MT
Mato Grosso,2010,2,ABSTENÇÃO,545646,0.26056286575888027,MT
Mato Grosso,2010,2,DEMAIS,1548459,0.7394371342411197,MT
Mato Grosso,2014,1,ABSTENÇÃO,501407,0.22913261218955683,MT
Mato Grosso,2014,1,DEMAIS,1686876,0.7708673878104432,MT
Mato Grosso,2014,2,ABSTENÇÃO,556522,0.25431170390788294,MT
Mato Grosso,2014,2,DEMAIS,1631824,0.7456882960921171,MT
Mato Grosso,1998,1,ABSTENÇÃO,439757,0.28999090639921765,MT
